age,income,city,signup_time
30,55000,NY,2024-01-01
,70000,SF,2024-01-05
45,,LA,not a date
unknown,120000,NY,2024/02/01
28,65000,Chicago,2024-01-15
35,82000,Boston,01-20-2024
-5,45000,Seattle,2024-01-22
42,95000,Denver,2024/01/25
NULL,78000,Austin,2024-01-28
31,NaN,Portland,2024-02-01
27,52000,,2024-02-03
38,110000,Miami,2024/02/05
NA,67000,Phoenix,not available
44,88000,San Diego,2024-02-10
29,,Houston,2024-02-12
36,73000,Dallas,02/15/2024
unknown,91000,Atlanta,2024-02-18
33,59000,Philadelphia,2024/02/20
41,105000,Detroit,2024-02-22
25,48000,Minneapolis,invalid date
,85000,Tampa,2024-02-28
47,NULL,Orlando,2024-03-01
34,72000,Charlotte,03-05-2024
39,96000,Nashville,2024/03/08
n/a,61000,Las Vegas,2024-03-10
32,NaN,Sacramento,2024-03-12
46,,San Antonio,TBD
28,54000,Kansas City,2024/03/18
37,89000,Columbus,2024-03-20
unknown,76000,Indianapolis,2024-03-22
43,102000,San Jose,2024/03/25
,68000,Jacksonville,March 28 2024
30,58000,Fort Worth,2024-03-30
26,47000,Austin,2024/04/01
40,93000,SF,04-05-2024
NULL,81000,NY,2024-04-08
35,NaN,LA,2024/04/10
49,115000,Chicago,2024-04-12
31,,Boston,not a valid date
unknown,64000,Seattle,2024/04/18
38,87000,Denver,2024-04-20
44,99000,Portland,04/22/2024
27,51000,Miami,2024-04-25
-3,74000,Phoenix,2024/04/28
36,NaN,San Diego,2024-05-01
,92000,Houston,2024/05/03
42,108000,Dallas,May 5 2024
NA,66000,Atlanta,2024-05-08
33,57000,Philadelphia,2024/05/10
48,NULL,Detroit,2024-05-12
29,69000,Minneapolis,invalid
unknown,84000,Tampa,2024/05/18
37,,Orlando,2024-05-20
45,97000,Charlotte,05-22-2024
,71000,Nashville,2024/05/25
34,62000,Las Vegas,2024-05-28
41,NaN,Sacramento,2024/05/30
26,49000,San Antonio,2024-06-01
NULL,80000,Kansas City,06/03/2024
39,94000,Columbus,2024-06-05
n/a,56000,Indianapolis,2024/06/08
43,,San Jose,not recorded
32,75000,Jacksonville,2024-06-12
28,53000,Fort Worth,2024/06/15
unknown,88000,NYC,06-18-2024
46,111000,SF,2024-06-20
,63000,LA,2024/06/22
35,NaN,Chi,2024-06-25
40,98000,Bos,June 28 2024
NA,72000,Sea,2024-07-01
31,59000,Den,2024/07/03
-2,82000,Por,2024-07-05
47,,Mia,07-08-2024
29,67000,Pho,2024/07/10
unknown,91000,SD,2024-07-12
36,NULL,Hou,2024/07/15
44,104000,Dal,2024-07-18
,77000,Atl,invalid date
33,60000,Phi,2024/07/22
48,NaN,Det,07-25-2024
27,50000,Min,2024-07-28
NULL,86000,Tam,2024/07/30
38,95000,Orl,2024-08-01
42,,Cha,August 3 2024
n/a,73000,Nas,2024/08/05
34,64000,LV,2024-08-08
unknown,89000,Sac,08-10-2024
45,107000,SA,2024/08/12
30,55000,KC,2024-08-15
,78000,Col,2024/08/18
39,NaN,Ind,not a date
-10,100000,SJ,2024-08-22
26,52000,Jax,2024/08/25
unknown,68000,FW,08-28-2024
NULL,83000,Austin,2024-09-01
43,,SF,2024/09/03
35,75000,NY,September 5 2024
